income_bin,Ethnic,rural,distance,FIND_DIV_1000,dp
"(38.66,39.65]",White,Rural,23.67654961,39,dp1
"(38.66,39.65]",White,Urban,6.095400067,39,dp1
"(39.65,40.64]",Asian,Rural,14.74620064,40,dp1
"(39.65,40.64]",Asian,Urban,2.519347576,40,dp1
"(39.65,40.64]",Black or African American,Rural,25.11456778,40,dp1
"(39.65,40.64]",Black or African American,Urban,4.3935451,40,dp1
"(39.65,40.64]",Hispanic,Rural,16.19953112,40,dp1
"(39.65,40.64]",Hispanic,Urban,3.816216579,40,dp1
"(39.65,40.64]",White,Rural,23.63144781,40,dp1
"(39.65,40.64]",White,Urban,6.165178412,40,dp1
"(40.64,41.63]",Asian,Rural,14.97988575,41,dp1
"(40.64,41.63]",Asian,Urban,2.44769374,41,dp1
"(40.64,41.63]",Black or African American,Rural,26.52150802,41,dp1
"(40.64,41.63]",Black or African American,Urban,4.365667131,41,dp1
"(40.64,41.63]",Hispanic,Rural,19.2352142,41,dp1
"(40.64,41.63]",Hispanic,Urban,3.820457519,41,dp1
"(40.64,41.63]",White,Rural,24.15953559,41,dp1
"(40.64,41.63]",White,Urban,6.002176795,41,dp1
"(41.63,42.62]",Asian,Rural,12.96671662,42,dp1
"(41.63,42.62]",Asian,Urban,2.567556737,42,dp1
"(41.63,42.62]",Black or African American,Rural,24.84261086,42,dp1
"(41.63,42.62]",Black or African American,Urban,4.365023953,42,dp1
"(41.63,42.62]",Hispanic,Rural,16.71131179,42,dp1
"(41.63,42.62]",Hispanic,Urban,3.905982521,42,dp1
"(41.63,42.62]",White,Rural,23.72589586,42,dp1
"(41.63,42.62]",White,Urban,6.108836597,42,dp1
"(42.62,43.61]",Asian,Rural,16.945063,43,dp1
"(42.62,43.61]",Asian,Urban,2.451249279,43,dp1
"(42.62,43.61]",Black or African American,Rural,24.33159448,43,dp1
"(42.62,43.61]",Black or African American,Urban,4.418355058,43,dp1
"(42.62,43.61]",Hispanic,Rural,16.95020798,43,dp1
"(42.62,43.61]",Hispanic,Urban,3.861758267,43,dp1
"(42.62,43.61]",White,Rural,23.95306096,43,dp1
"(42.62,43.61]",White,Urban,6.115693901,43,dp1
"(43.61,44.6]",Asian,Rural,16.44806157,44,dp1
"(43.61,44.6]",Asian,Urban,2.461143953,44,dp1
"(43.61,44.6]",Black or African American,Rural,25.13673501,44,dp1
"(43.61,44.6]",Black or African American,Urban,4.35217505,44,dp1
"(43.61,44.6]",Hispanic,Rural,17.58638299,44,dp1
"(43.61,44.6]",Hispanic,Urban,4.002188143,44,dp1
"(43.61,44.6]",White,Rural,23.89262552,44,dp1
"(43.61,44.6]",White,Urban,6.227515001,44,dp1
"(44.6,45.59]",Asian,Rural,16.39820616,45,dp1
"(44.6,45.59]",Asian,Urban,2.539262768,45,dp1
"(44.6,45.59]",Black or African American,Rural,24.93746215,45,dp1
"(44.6,45.59]",Black or African American,Urban,4.443330116,45,dp1
"(44.6,45.59]",Hispanic,Rural,16.60841615,45,dp1
"(44.6,45.59]",Hispanic,Urban,3.895760251,45,dp1
"(44.6,45.59]",White,Rural,23.48321242,45,dp1
"(44.6,45.59]",White,Urban,6.026398607,45,dp1
"(45.59,46.58]",Asian,Rural,16.12897717,46,dp1
"(45.59,46.58]",Asian,Urban,2.420757709,46,dp1
"(45.59,46.58]",Black or African American,Rural,24.42751025,46,dp1
"(45.59,46.58]",Black or African American,Urban,4.360211078,46,dp1
"(45.59,46.58]",Hispanic,Rural,16.2266025,46,dp1
"(45.59,46.58]",Hispanic,Urban,3.760871629,46,dp1
"(45.59,46.58]",White,Rural,23.74587792,46,dp1
"(45.59,46.58]",White,Urban,5.89404825,46,dp1
"(46.58,47.57]",Asian,Rural,13.66977391,47,dp1
"(46.58,47.57]",Asian,Urban,2.412104982,47,dp1
"(46.58,47.57]",Black or African American,Rural,23.63560447,47,dp1
"(46.58,47.57]",Black or African American,Urban,4.420775488,47,dp1
"(46.58,47.57]",Hispanic,Rural,16.05884885,47,dp1
"(46.58,47.57]",Hispanic,Urban,3.785043832,47,dp1
"(46.58,47.57]",White,Rural,22.8442863,47,dp1
"(46.58,47.57]",White,Urban,5.933439832,47,dp1
"(47.57,48.56]",Asian,Rural,14.97828492,48,dp1
"(47.57,48.56]",Asian,Urban,2.421743149,48,dp1
"(47.57,48.56]",Black or African American,Rural,25.25511701,48,dp1
"(47.57,48.56]",Black or African American,Urban,4.350392087,48,dp1
"(47.57,48.56]",Hispanic,Rural,16.15513982,48,dp1
"(47.57,48.56]",Hispanic,Urban,3.914216611,48,dp1
"(47.57,48.56]",White,Rural,23.61984858,48,dp1
"(47.57,48.56]",White,Urban,5.901868459,48,dp1
"(48.56,49.55]",Asian,Rural,15.3858816,49,dp1
"(48.56,49.55]",Asian,Urban,2.571497237,49,dp1
"(48.56,49.55]",Black or African American,Rural,23.36826081,49,dp1
"(48.56,49.55]",Black or African American,Urban,4.571111602,49,dp1
"(48.56,49.55]",Hispanic,Rural,17.42421585,49,dp1
"(48.56,49.55]",Hispanic,Urban,4.002760004,49,dp1
"(48.56,49.55]",White,Rural,23.39268977,49,dp1
"(48.56,49.55]",White,Urban,6.051658761,49,dp1
"(49.55,50.54]",Asian,Rural,12.0721888,50,dp1
"(49.55,50.54]",Asian,Urban,2.39703557,50,dp1
"(49.55,50.54]",Black or African American,Rural,23.42896969,50,dp1
"(49.55,50.54]",Black or African American,Urban,4.115621059,50,dp1
"(49.55,50.54]",Hispanic,Rural,16.65840928,50,dp1
"(49.55,50.54]",Hispanic,Urban,3.783287618,50,dp1
"(49.55,50.54]",White,Rural,22.82992497,50,dp1
"(49.55,50.54]",White,Urban,6.035788812,50,dp1
"(50.54,51.53]",Asian,Rural,12.21641813,51,dp1
"(50.54,51.53]",Asian,Urban,2.479551336,51,dp1
"(50.54,51.53]",Black or African American,Rural,23.45092395,51,dp1
"(50.54,51.53]",Black or African American,Urban,4.097547184,51,dp1
"(50.54,51.53]",Hispanic,Rural,15.05610209,51,dp1
"(50.54,51.53]",Hispanic,Urban,3.736119909,51,dp1
